epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.33,1.24644,1.22788,1.24212,0.95346,0.90901,0.93673,0.59106,1.24593,0.79667,1.14597,0.0700227,0.00333081,0.00333081
2,513.325,1.22619,0.83691,1.16031,0.95713,0.91745,0.95187,0.60093,1.27009,0.69718,1.14423,0.0398907,0.0065322,0.0065322
3,767.867,1.2695,0.83795,1.18565,0.94874,0.88552,0.93491,0.55822,1.40674,0.73794,1.22576,0.00962679,0.00960158,0.00960158
4,1020.36,1.2742,0.82511,1.20701,0.96244,0.90136,0.95177,0.60193,1.30754,0.67587,1.1968,0.009406,0.009406,0.009406
5,1270.54,1.23848,0.75017,1.18951,0.96227,0.92214,0.95002,0.58761,1.3529,0.6773,1.19073,0.009208,0.009208,0.009208
6,1521.95,1.22108,0.72276,1.18531,0.96861,0.92622,0.96016,0.61528,1.25256,0.6281,1.1469,0.00901,0.00901,0.00901
7,1777.04,1.19827,0.69437,1.17645,0.9684,0.93105,0.9608,0.63968,1.20819,0.58125,1.14505,0.008812,0.008812,0.008812
8,2029,1.17264,0.65715,1.16745,0.97731,0.92914,0.9649,0.65212,1.20858,0.56465,1.14092,0.008614,0.008614,0.008614
9,2278.25,1.17056,0.6443,1.16558,0.9725,0.93152,0.96552,0.64572,1.20013,0.56861,1.1337,0.008416,0.008416,0.008416
10,2528.76,1.16215,0.63578,1.16388,0.97501,0.9333,0.96651,0.64323,1.2112,0.5313,1.1424,0.008218,0.008218,0.008218
11,2778.55,1.14984,0.6211,1.15821,0.96458,0.94533,0.96737,0.64407,1.21444,0.5435,1.14187,0.00802,0.00802,0.00802
12,3028.91,1.1345,0.60947,1.14368,0.97009,0.94313,0.96888,0.65522,1.18302,0.51936,1.12553,0.007822,0.007822,0.007822
13,3280.03,1.12567,0.59372,1.14334,0.97417,0.94325,0.96914,0.66526,1.15311,0.50374,1.10946,0.007624,0.007624,0.007624
14,3530.06,1.12228,0.58758,1.14108,0.9758,0.94231,0.9704,0.66464,1.16581,0.49514,1.10925,0.007426,0.007426,0.007426
15,3779.49,1.11541,0.57444,1.13929,0.97548,0.95161,0.97224,0.67209,1.13807,0.48475,1.1062,0.007228,0.007228,0.007228
16,4028.9,1.11141,0.56798,1.1353,0.97442,0.94512,0.97359,0.67607,1.14098,0.47011,1.101,0.00703,0.00703,0.00703
17,4277.38,1.10161,0.56128,1.12878,0.97946,0.93931,0.97324,0.67168,1.1502,0.47009,1.1042,0.006832,0.006832,0.006832
18,4546.81,1.09082,0.55253,1.1266,0.97132,0.94887,0.97389,0.67141,1.15951,0.46319,1.11046,0.006634,0.006634,0.006634
19,4817.11,1.0892,0.54301,1.1249,0.97781,0.95072,0.9771,0.68373,1.12551,0.44462,1.10275,0.006436,0.006436,0.006436
20,5067.82,1.08589,0.54004,1.12335,0.97515,0.947,0.97348,0.68508,1.12467,0.44939,1.09574,0.006238,0.006238,0.006238
21,5319.34,1.08089,0.53392,1.11982,0.97806,0.95122,0.97659,0.68534,1.12547,0.43681,1.09377,0.00604,0.00604,0.00604
22,5569.84,1.07042,0.52853,1.11497,0.98106,0.94746,0.97756,0.68652,1.11953,0.43621,1.09092,0.005842,0.005842,0.005842
23,5820.05,1.06567,0.52075,1.10938,0.97897,0.94934,0.97755,0.68652,1.12328,0.43457,1.09435,0.005644,0.005644,0.005644
24,6082.05,1.06096,0.51434,1.11121,0.97606,0.95628,0.9798,0.69247,1.11808,0.42787,1.08707,0.005446,0.005446,0.005446
25,6338.97,1.05454,0.50794,1.10597,0.97337,0.96295,0.98025,0.69314,1.12241,0.41839,1.08834,0.005248,0.005248,0.005248
26,6595.88,1.04999,0.50316,1.10649,0.97599,0.95497,0.97877,0.6909,1.11954,0.41873,1.09253,0.00505,0.00505,0.00505
27,6848.1,1.04843,0.49988,1.10447,0.98151,0.94981,0.97891,0.69341,1.11412,0.41002,1.0889,0.004852,0.004852,0.004852
28,7101.3,1.04517,0.49436,1.10424,0.97842,0.95216,0.97778,0.69157,1.11459,0.40828,1.0929,0.004654,0.004654,0.004654
29,7355.55,1.04385,0.49233,1.10148,0.97806,0.95263,0.97913,0.69065,1.11172,0.40604,1.08651,0.004456,0.004456,0.004456
30,7608.94,1.03123,0.48543,1.09396,0.97654,0.95664,0.97798,0.69449,1.11115,0.40609,1.08568,0.004258,0.004258,0.004258
31,7862.92,1.02465,0.48122,1.09601,0.9766,0.95912,0.9803,0.70085,1.10197,0.40173,1.09043,0.00406,0.00406,0.00406
32,8117.04,1.01722,0.47094,1.09436,0.97815,0.95779,0.98022,0.69508,1.10934,0.39775,1.09604,0.003862,0.003862,0.003862
33,8371.57,1.01626,0.47129,1.08724,0.98359,0.95732,0.9815,0.69983,1.10726,0.39473,1.0897,0.003664,0.003664,0.003664
34,8626.83,1.01651,0.46721,1.08638,0.98548,0.95514,0.98247,0.70062,1.10203,0.39158,1.08619,0.003466,0.003466,0.003466
35,8882.07,1.00695,0.4608,1.08442,0.97533,0.96413,0.98276,0.70059,1.10097,0.39048,1.08744,0.003268,0.003268,0.003268
36,9136.64,0.9964,0.45424,1.07634,0.98639,0.9545,0.98265,0.70031,1.10003,0.38746,1.08326,0.00307,0.00307,0.00307
37,9389.21,0.99826,0.45398,1.07624,0.98501,0.95497,0.98267,0.70012,1.10148,0.38711,1.0821,0.002872,0.002872,0.002872
38,9643.42,0.98604,0.44903,1.07062,0.98505,0.95782,0.98222,0.70073,1.09998,0.38503,1.08046,0.002674,0.002674,0.002674
39,9900.94,0.98716,0.44444,1.07016,0.98456,0.95712,0.982,0.70222,1.09916,0.38441,1.07853,0.002476,0.002476,0.002476
40,10157.8,0.98146,0.44403,1.06766,0.98454,0.95604,0.98155,0.70079,1.09812,0.38422,1.07969,0.002278,0.002278,0.002278
41,10406.1,0.96642,0.37735,1.05632,0.98407,0.95646,0.98132,0.70149,1.09629,0.38341,1.07968,0.00208,0.00208,0.00208
42,10652.1,0.94952,0.36786,1.04768,0.98398,0.95685,0.98168,0.70238,1.09467,0.38268,1.07906,0.001882,0.001882,0.001882
43,10900.5,0.94251,0.36321,1.04517,0.98482,0.95779,0.98359,0.70182,1.09326,0.38096,1.07899,0.001684,0.001684,0.001684
44,11147.5,0.93191,0.3556,1.04062,0.98335,0.95732,0.98369,0.70289,1.09224,0.38065,1.08033,0.001486,0.001486,0.001486
45,11393.1,0.92655,0.35077,1.03839,0.98693,0.9545,0.98315,0.7033,1.09138,0.37975,1.08059,0.001288,0.001288,0.001288
46,11636.4,0.91305,0.34587,1.03637,0.98788,0.95537,0.98321,0.70369,1.09046,0.37862,1.08158,0.00109,0.00109,0.00109
47,11879.2,0.91003,0.34369,1.03491,0.98864,0.95356,0.98299,0.70381,1.09012,0.37845,1.08255,0.000892,0.000892,0.000892
48,12125.5,0.90055,0.33734,1.02465,0.99122,0.95308,0.98361,0.70417,1.08976,0.37813,1.08261,0.000694,0.000694,0.000694
49,12366.2,0.89566,0.3332,1.0221,0.99122,0.95301,0.984,0.70386,1.08976,0.3779,1.08261,0.000496,0.000496,0.000496
50,12610,0.88904,0.33083,1.0184,0.99027,0.95463,0.98409,0.70373,1.09026,0.37833,1.08263,0.000298,0.000298,0.000298
